EUSTON,OO,EMU,321,LM,1550738580,2019-02-21 08:43:00+00
EUSTON,XX,EMU,390,VT,1550738760,2019-02-21 08:46:00+00
EUSTON,OO,EMU,350,LM,1550738880,2019-02-21 08:48:00+00
EUSTON,XX,EMU,390,VT,1550739000,2019-02-21 08:50:00+00
EUSTON,OO,EMU,313,LO,1550739060,2019-02-21 08:51:00+00
EUSTON,XX,EMU,390,VT,1550739240,2019-02-21 08:54:00+00
EUSTON,OO,EMU,350,LM,1550739300,2019-02-21 08:55:00+00
EUSTON,XX,EMU,390,VT,1550739600,2019-02-21 09:00:00+00
FENCHRS,XX,EMU,357,CC,1550736000,2019-02-21 08:00:00+00
FENCHRS,OO,EMU,357,CC,1550736180,2019-02-21 08:03:00+00
FENCHRS,OO,EMU,357,CC,1550736360,2019-02-21 08:06:00+00
FENCHRS,XX,EMU,357,CC,1550736540,2019-02-21 08:09:00+00
FENCHRS,OO,EMU,357,CC,1550736720,2019-02-21 08:12:00+00
FENCHRS,XX,EMU,357,CC,1550736840,2019-02-21 08:14:00+00
FENCHRS,OO,EMU,357,CC,1550737080,2019-02-21 08:18:00+00
FENCHRS,XX,EMU,357,CC,1550737260,2019-02-21 08:21:00+00
FENCHRS,XX,EMU,357,CC,1550737440,2019-02-21 08:24:00+00
FENCHRS,OO,EMU,357,CC,1550737620,2019-02-21 08:27:00+00
FENCHRS,XX,EMU,357,CC,1550737800,2019-02-21 08:30:00+00
FENCHRS,XX,EMU,357,CC,1550737980,2019-02-21 08:33:00+00
FENCHRS,OO,EMU,357,CC,1550738160,2019-02-21 08:36:00+00
FENCHRS,OO,EMU,357,CC,1550738340,2019-02-21 08:39:00+00
FENCHRS,OO,EMU,357,CC,1550738520,2019-02-21 08:42:00+00
FENCHRS,XX,EMU,357,CC,1550738700,2019-02-21 08:45:00+00
FENCHRS,OO,EMU,357,CC,1550738880,2019-02-21 08:48:00+00
FENCHRS,XX,EMU,357,CC,1550739060,2019-02-21 08:51:00+00
FENCHRS,XX,EMU,357,CC,1550739240,2019-02-21 08:54:00+00
FENCHRS,OO,EMU,357,CC,1550739420,2019-02-21 08:57:00+00
FENCHRS,OO,EMU,357,CC,1550739600,2019-02-21 09:00:00+00
